task_id,text,department_id,employee_id,status,priority,estimated_time
108,В городе Тернополь на западной Украине неизвестные напали на цыганский лагерь. Они угрожали его жителям расправой и требовали убраться из города. Прибывшая на место происшествия полиция задержала 12 человек. За последний месяц это уже третий случай нападения на цыган на Украине.,21,141,success,medium,25
109,"В прямую трансляцию, которую вел водитель румынского микроавтобуса попало его лобовое столкновение с грузовиком. Как видно на записи, столкновение произошло, когда мужчина за рулем совершал обгон по встречной полосе. В результате погибли водитель и все восемь пассажиров, которые, были гражданами Румынии.",15,79,success,high,20
110,"В Московской области внедряются лучшие инновационные практики в области транспортной инфраструктуры и этот опыт необходимо активно перенимать другим регионам, заявил министр транспорта России Евгений Дитрих. Губернатор Андрей Воробьев принял участие в совете по развитию транспортной системы Москвы и области.",5,188,in progress,medium,18
111,"Международная группа ученых показала, что при нынешних тенденциях почти четверть населения Земли будут страдать ожирением к 2045 году, а у каждого восьмого человека разовьется сахарный диабет 2-го типа. Результаты исследований представлены на Европейском конгрессе по ожирению в Вене.",17,138,success,medium,8
112,"Президент России Владимир Путин поздравил мультсериал «Смешарики» с 15-летним юбилеем. Глава государства отметил профессионализм создателей мультфильма и актуальность поднимаемых в проекте тем, а также роль «Смешариков» в воспитании детей. Президент подчеркнул, что эта «многогранная деятельность заслуживает уважения».",8,145,success,low,29
113,Завод по производству боросиликатного стекла построят в Подмосковье. Соотвествующее соглашение власти Московской области подписали с ООО «Медикал Гласс Стандарт» в рамках Петербургского международного экономического форума.,5,31,in progress,medium,22
114,"Бортпроводник ирландской авиакомпании Ryanair станцевал в проходе на борту самолета, который летел из итальянской Генуи в английский город Борнмут. Член экипажа по имени Паоло внезапно начал исполнять танец под песню Toxic американской певицы Бритни Спирс прямо во время полета, чем вызвал восторг туристов.",11,158,in progress,medium,37
115,"В Москве по подозрению в грабеже задержан актер из сериала «Мент в законе» Илья Уткин. Его остановили сотрудники ДПС. Источник сообщил про бытовой конфликт: актер был в гостях и там поссорился с подругой. Он ушел с вечеринки, прихватив ее телефон, а женщина обратилась с заявлением в полицию.",18,176,success,medium,2
116,"Часть пользователей WhatsApp заявила, что не видит отправителя сообщений, когда получает уведомления. Согласно жалобам юзеров, на экране смартфона высвечивается лишь надпись «Сообщение», однако невозможно сразу определить, от кого оно пришло, а также его содержимое. Им приходится открывать WhatsApp и смотреть послания.",13,53,success,medium,20
117,"Новый глава Счетный палаты и бывший министр финансов Алексей Кудрин рассказал, что не против взять под свое ведение часть функций правительства Дмитрия Медведева. Речь идет об «открытом правительстве», за которое в бывшем составе кабинета министров отвечал Михаил Абызов.",14,152,success,low,31
118,"Министерство культуры России обнародовало информацию о доходах и имуществе деятелей культуры в подведомственных организациях. Больше других в 2017 году заработал дирижер и худрук Национального филармонического оркестра России Владимир Спиваков, который задекларировал более 82,2 миллиона рублей.",8,102,in progress,medium,35
119,"Утверждения о причастности российских спецслужб к покушению на журналиста Аркадия Бабченко не соответствуют действительности, заявил пресс-секретарь президента РФ Дмитрий Песков. вся эта история, все эти показания, являются ни чем иным как развесистой клюквой», — сказал официальный представитель Кремля.",5,187,success,low,13
120,"Британскую аристократку и модель Леди Викторию Херви сфотографировали в странном купальном костюме во время отдыха на Французской Ривьере. Она прошлась по пляжу в тигрово-леопардовом купальнике, верхней частью которого был обычный топ с треугольными чашками, а нижней — трусы с лямками, натянутыми на плечи.",19,178,success,low,4
121,Сайт мессенджера Telegram пропал из поисковой выдачи сразу в нескольких российских поисковиках. В рамках исполнения требования закона по «фильтрации ресурсов» Telegram исключили из выдачи сервисы Mail.ru и «Спутник». При этом в поисковиках «Яндекс» и Google ссылку на мессенджер Павла Дурова до сих пор можно обнаружить.,13,201,success,high,3
122,"В уральском городе Серове территорию детского сада обнесли колючей проволокой. Сообщение об этом и соответствующая фотография опубликованы в соцсетях. «Чтоб бухающая молодежь не сидела в верандах», — предположил один из комментаторов. А другой пожалел, что такая защита не применялась раньше.",5,187,in progress,high,4
123,"Российские истребители нанесли удары по объектам исламистов в Сирии на границе провинций Хама и Идлиб, несмотря на присутствие в регионе турецких военных. По словам военного источника в Дамаске, самолеты ВКС России неоднократно атаковали позиции боевиков в ночь с 31 мая на 1 июня.",15,46,failed,high,12
124,"В США родители в судебном порядке заставили съехать 30-летнего безработного сына из их дома. За восемь лет они много раз говорили, что молодой человек должен найти себе работу, несколько раз предлагали дать ему денег на поиски нового жилья и пять раз направляли ему уведомления о выселении через адвоката.",10,157,success,low,25
125,"В Кремле заявили о невозможности полной блокады России со стороны других государств. По мнению Дмитрия Пескова, настоящей международной блокады и не было, и она невозможна, а экономические интересы рано или поздно начнут брать верх над политическим давлением",5,31,failed,low,9
126,"Американская супермодель Белла Хадид заявила, что никогда в жизни не делала пластических операций. Слухи о том, что модель перенесла пластику носа и несколько других процедур еще в начале своей карьеры, появились среди поклонников в 2013-м. По словам Хадид, она слишком боится операций.",19,137,success,medium,13
127,"Популярные блогеры запустили новый флешмоб, названный подписчиками «тоннель Тоблерон», чтобы продемонстрировать достоинства своей фигуры. Девушки публикуют свои снимки в бикини, где видно расстояние между бедрами. Флешмоб получил имя в честь известного бренда шоколада, продукция которого имеет треугольную форму.",13,162,success,high,28
128,"Обвиненный в убийстве австралийский фермер Анджело Руссо заявил, что выстрелил из ружья случайно, поскользнувшись на баклажане. Его адвокат заявил, что оружие выстрелило само, а его подзащитный не нажимал на спусковой крючок. Однако прокурор не верит в эту версию, так как друг убитого заявил, что фермер был в ярости.",10,180,success,high,30
129,"Российский актер Юрий Колокольников порассуждал о сексуальности постельных сцен в сериале «Игра престолов». Артиста попросили назвать самую горячую актрису сериала, на что Колокольников заявил, что «они там все достаточно горячие», но причина этого заключается в сюжете и профессиональной съемке.",8,73,success,medium,6
130,"Порядка 15 деловых встреч с инвесторами, руководителями компаний пройдет на стенде Московской области в рамках Петербургского международного экономического форума. В этом году регион представит на форуме практики в сфере привлечения инвестиций, промышленности, жилищно-коммунального хозяйства.",5,187,success,medium,36
131,"Жители разных регионов России вышли на акции протеста из-за резкого скачка цен на бензин, который произошел в период с 21 по 27 мая. Первые протесты начались в Дагестане еще 20 мая, в Иркутске водители перекрывали заправки, также пикеты прошли или пройдут в других регионах Сибири.",5,130,success,low,4
132,"Компания Ubisoft показала тизер новой игры серии Assassin’s Creed. Незадолго до анонса, в сети появилось изображение брелка со шлемом воина и подписью Assassin’s Creed Odyssey. По информации Kotaku, действие игры будет разворачиваться в древней Греции, будет возможность выбрать между двумя игровыми персонажам.",17,11,success,medium,4
133,"Премьер-министр Дмитрий Медведев поручил Минфину и Минэкономразвития до 6 июля найти источники финансирования для исполнения нового майского указа президента Владимира Путина. При этом предложения по проектам не должны разбалансировать бюджеты российских субъектов, которые и так дефицитны.",14,58,in progress,low,30
134,"Норвежский министр по делам детей, равноправия и социальной интеграции Линда Хеллеланд заявила, что хочет стать новым президентом Всемирного антидопингового агентства (WADA). «Нам нужно усилить борьбу с допингом, нам нужно, чтобы WADA было органом, который тщательно следит за спортом», — заявила Хеллеланд.",9,208,in progress,high,12
135,"Ракетные войска тактического назначения самопровозглашенной Донецкой народной республики нанесли удар по позициям Вооруженных сил Украины в районе города Авдеевка. Бойцы ДНР полностью уничтожили огневую точку, откуда в середине мая велся гранатометный обстрел позиций батальона «Пятнашка».",21,141,failed,medium,12
136,"Президенту России Владимиру Путину доложили о смерти девушки из Апатитов, которая пожаловалась главе государства на некачественную медицину, заявил представитель Кремля Дмитрий Песков. 25-летняя Дарья Старикова скончалась 21 мая в одной из московских клиник после продолжительной болезни.",5,108,failed,medium,15
137,"В Москве подросток напал с ножом на ученика в школе. Инцидент произошел в школе на Планерной улице на северо-западе города, участникам конфликта по 16 лет. Один из них нанес другому непроникающее ножевое ранение. В МВД уже подтвердили эту информацию, на месте работают сотрудники полиции.",5,31,success,high,24
138,"Составлен рейтинг самых распространенных причин гибели туристов во время отпуска. Среди них оказались дорожно-транспортные происшествия, наркотики, алкоголь, прыжки с балконов в бассейн, несчастные случаи во время купания и животные. Завершило рейтинг известное у туристов занятие — селфи.",11,158,in progress,high,16
139,"Министерство транспорта рекомендовало правительству Омской области достроить метро, последние годы превратившееся в мем. Ранее омские чиновники хотели остановить реализацию проекта. С 1992 года были построены полторы станции полторы станции за 14 миллиардов рублей. Для завершения строительства нужно еще 22.",5,130,in progress,high,7
140,"Первый день лета совпал с резким похолоданием и снегопадом сразу в нескольких регионах страны. Заметнее всего обозначенное синоптиками арктическое вторжение произошло в Пермском крае и Коми. Снег также выпал в Самарской и Кировской областях, Удмуртии, Башкирии и Татарстане.",5,21,success,medium,23
141,"Деятельность Петра Порошенко на посту президента Украины не одобряет 81 процент граждан страны, это худший показатель за все время его президентства. Социологи также отмечают низкий уровень поддержки Верховной Рады. Об этом свидетельствуют результаты нового соцопроса, проведенного по заказу из США.",21,141,success,low,23
142,"Астрономы Торонтского университета выяснили, что пульсар B1957+20, прозванный Черной Вдовой, испускает радиоизлучение, частотыа которого напоминает повторяющиеся быстрые радиовсплески у объекта FRB 121102. Это происходит из-за прохождения электромагнитных волн через облако ионизированного вещества.",17,174,success,low,21
143,"Независимые разработчики в области финансовых технологий обвинили Павла Дурова в плагиате. Неназванная компания подала иск в Замоскворецкий суд Москвы на основателя Telegram. В документе отмечается, что бизнесмен присвоил чужую разработку, которую ему показали на приватной встрече в феврале 2018 года.",13,115,success,medium,23
144,"В Челябинской области суд приговорил хозяина двух собак, сильно искусавших ребенка, к обязательным работам. Об этом сообщается на сайте регионального управления Следственного комитета России. Как говорится в сообщении, инцидент произошел в октябре прошлого года в Копейске.",18,48,in progress,low,21
145,"Бывший заместитель мэра Великого Новгорода Вадим Фадеев приговорен к 11 годам колонии строгого режима за совращение мальчиков и распространение в интернете детской порнографии. Он курировал образование, молодежную политику и профилактику подростковой преступности. Фадеев выложил 28 порнороликов.",18,176,in progress,low,24
146,"Российские власти готовят полный запрет продажи недостроенного жилья с 2020 года. Эта возможность обсуждалась на недавнем совещании у президента Владимира Путина, посвященном закону о долевом строительстве. Действующее законодательство предусматривает отказ от долевого строительства с 1 июля 2019 года.",14,218,success,low,38
147,"В Германии школьников довольно сурово наказывают за прогулы без уважительной причины. Отмечается, что посещение школьных занятий в Германии обязательно, пропуск уроков приравнивается к административным правонарушениям. Особенно внимательно следят за теми случаями, когда каникулы с самовольно начинают на один-два дня.",15,40,in progress,high,35
148,"Позиции сирийской правительственной армии в провинции Дейр-эз-Зоре атаковали военные силы возглавляемой США коалиции, которая ведет борьбу с боевиками террористической организации «Исламское государство» (ИГ, запрещена в России) в регионе. В Пентагоне информацию об атаке отвергли.",15,46,in progress,medium,10
149,"Жительница Великобритании совершила самоубийство после того, как хирург без ее разрешения и медицинской необходимости вырезал ей яичники. Врач объяснил 58-летней женщине, что счел, что в ее возрасте яичники уже не нужны, к тому же, они мешали ему установить имплантат. Против него начали расследование.",10,116,success,low,19
150,"Правительство до 2024 года не собирается менять налоги, сообщил министр финансов и первый вице-премьер страны Антон Силуанов. По его словам, в этот период некоторая настройка существующих в России налогов все же будет произведена — вероятно, речь пойдет об уменьшении налогов, негативно отражающихся на бизнесе.",14,213,success,high,31
151,"Испанский специалист Унаи Эмери назначен на пост главного тренера лондонского «Арсенала». Испанец сменил многолетнего наставника лондонцев Арсена Венгера. Последним место работы испанца был французский «Пари Сен-Жермен», с которым Эмери удалось выиграть в минувшем сезоне три титула.",9,107,success,high,18
152,"Бывший главный тренер мадридского «Реала» Зинедин Зидан решил покинуть испанский клуб из-за проблем с продлением контракта нападающего Криштиану Роналду. Кроме того, у французского тренера наметились разногласия с президентом клуба Флорентино Пересом по трансферной политике.",9,27,in progress,low,7
153,В ДНР четвертый день идут бои вдоль всей линии фронта. Украинским силовикам не удалось занять господствующие высоты вокруг Горловки. Стороны перешли к артиллерийским обстрелам позиций противника. В районе Донецка ополченцы ДНР уничтожили украинскую диверсионную группу в составе пяти человек.,21,105,success,high,27
154,"В новых коллекциях знаменитых брендов вновь появилось несколько вариантов обуви с пальцами ног. Необычные ботинки, сандалии и слиперы, популярные несколько лет назад, показали сразу несколько дизайнеров. Среди них оказался креативный директор испанского модного дома Loewe Джонатан Андерсон.",19,119,in progress,high,8
155,"Более 600 детей, оставшихся без попечения родителей, устроили в приемные семьи в Подмосковье с начала года, сообщила первый заместитель председателя правительства Московской области Ольга Забралова. «В регионе работает 72 школы подготовки приемных семей», — рассказала она.",5,197,failed,high,39
156,"Разработчики мобильного приложения Pip cam — Photo Maker использовали фотографии полных моделей, чтобы продемонстрировать пользователям все доступные функции. В числе женщин, снимки которых использовали для рекламного видеоролика, оказалась американская плюс-сайз модель Тесс Холидей.",19,169,success,medium,39
157,"Руководитель Главного следственного управления (ГСУ) Следственного комитета России по Москве Александр Дрыманов подал рапорт об отставке. Главный следователь Москвы намерен уйти с поста на пенсию по выслуге лет. По словам Дрыманова, решение по рапорту еще не принято и он продолжает работать. <br />",18,121,in progress,high,34
158,"Супруга принца Гарри герцогиня Сассекская Меган Маркл несколько раз говорила о желании стать президентом США. Приближенный к бывшей актрисе источник заявил газете, что «Маркл ясно давала понять, что однажды хочет стать президентом». Официальный представитель герцогини также опроверг предположения журналистов.",10,106,success,high,1
159,"Банк ВТБ прекратил сотрудничество с миллиардером Олегом Дерипаской и его компаниями из-за санкций США. Глава банка Андрей Костин сообщил, что ожидает решения управления по контролю за иностранными активами (OFAC) американского Минфина по «Русалу» Дерипаски и другим компаниям, подпавшим под санкции.",14,28,success,high,4
160,"Украинская компания «Нафтогаз» заявила, что готова сохранить стоимость транзита российского газа в 2020-2028 годах на текущем уровне, если «Газпром» согласится на повышение тарифов в 2018-2019 годах в общей сложности на 2,3 миллиарда долларов, а также прокачивать через территорию страны 110 миллиардов кубов в год.",14,67,in progress,low,39
161,Альянс геев и лесбиянок против диффамации опубликовал ежегодный отчет об изображении представителей ЛГБТ-сообщества в фильмах крупнейших голливудских киностудий. Организация пожаловалась на резкое уменьшение числа персонажей с нетрадиционной сексуальной ориентацией в 2017 году.,8,190,success,high,19
162,"Британская компания Bags of love, специализирующаяся на персонифицированных сувенирах, подарила новобрачным принцу Гарри и Меган Маркл купальник и плавки с принтом из их свадебных фотографий. Купальные костюмы теперь также доступны в нескольких размерах и для поклонников королевской семьи.",19,137,success,high,20
163,"Британка под ником @gerbychic поделилась трюком, благодаря которому ей удается скрывать любовь к покупкам в интернете от родителей ее парня. По словам девушки, она живет вместе с молодым человеком и его родственниками. Она не хочет, чтобы близкие знали о ее вредной привычке тратить деньги на безделушки",13,115,success,high,35
164,"Режиссер Никита Михалков рассказал, как у него получилось заработать за 2017 год 529 миллионов рублей. «Я работаю с 12 лет, то есть более 60. Мои мастер-классы за рубежом стоят от 20 до 35 тысяч долларов. Я снялся более чем в 50 фильмах и снял более 15 картин как режиссер», — напомнил он.",8,132,success,high,29
165,"В Волгограде трое злоумышленников украли со склада тонну красной икры. Как рассказали в областном главке МВД, злоумышленники ночью произвели демонтаж металлической стены и проникли в помещение, после чего вынесли оттуда товар на три миллиона рублей — икру, десятки килограммов колбасы и сыра.",18,175,success,low,7
166,"В Канаде полиция арестовала взломщика, вломившегося в чужой дом, выпившего бутылку вина и сыгравшего на пианино. Звуки музыки разбудили двух жильцов, находившихся в тот момент на втором этаже, и они вызвали полицию. 33-летнего мужчину арестовали по  обвинению в нарушении неприкосновенности частной собственности.",10,157,in progress,medium,20
167,"В Иркутске детские химические опыты со спиртосодержащей жидкостью привели к возгоранию в торговом центре «Комсомолл». По данным регионального Минздрава, до восьми человек получили ожоги 1-й и 2-й степени. Из ТЦ эвакуировали 1,5 тысячи посетителей. Обстоятельства произошедшего уточняются.",5,134,success,low,20
168,"Бывший министр экономического развития России Алексей Улюкаев, осужденный на восемь лет колонии строгого режима, выплатил назначенный ему приговором суда штраф в 130 миллионов рублей. Его защита ходатайствует перед судом о снятии обеспечительных мер с ранее арестованного имущества.",18,171,in progress,high,35
169,"Олимпийский чемпион и чемпион мира по футболу американка Брэнди Честейн получила плиту с барельефом в Зале Славы «Бэй Арены», однако ее исполнение вызвало гнев пользователей социальных сетей. «Плита Брэнди Честейн в зале славы — абсолютное убожество», — гласит один из комментариев.",9,100,success,high,28
170,"Нападающий «Вашингтон Кэпиталс» Александр Овечкин взял в руки Приз принца Уэльского за победу в Восточной конференции плей-офф Национальной хоккейной лиги (НХЛ). Российский форвард проигнорировал примету, согласно которой финалисты Кубка Стэнли на удачу не трогают этот трофей.",9,57,in progress,high,38
171,"В канадском городе Нанаймо совершена кража трех гоночных ванн накануне первых соревнований. Воры угнали плавсредства с охраняемой верфи и заднего двора одного из гонщиков. Гоночные ванны стоят тысячи долларов, а их водителей уважают во всем городе. Полиция предупредила, что с началом лодочного сезона кражи участились.",10,157,in progress,medium,36
172,"Все больше россиян считают, что стране нужна не стабильность, а реформы. За последние шесть лет число таких людей увеличилось вдвое — до 56 процентов. При этом почти половина населения уверена, что в России уже произошли перемены к лучшему. Ранее о стремлении граждан к переменам говорил глава ВЦИОМ.",5,21,success,high,39
173,"Россия сомневается, что Юлия Скрипаль добровольно сделала свое последнее публичное заявление, сказал пресс-секретарь президента Дмитрий Песков. Он подчеркнул, что британская сторона до сих пор не предоставила России консульский доступ к Юлии и не соблюдает положения Венской конвенции.",5,33,in progress,high,30
174,"С 1 июня в районных и гарнизонных военных судах появятся присяжные, которые будут рассматривать уголовные дела об убийствах, наркотиках, контрабанде и геноциде. В состав коллегий войдут шесть заседателей. В Мосгорсуде присяжные будут рассматривать дела об ОПГ, бандитизме и похищениях.",18,71,in progress,low,31
175,"Неблагоприятная внешнеэкономическая обстановка и непредсказуемое законодательство заставляют иностранный бизнес чувствовать себя в России неуверенно и отказываться от инвестиций в страну, считает уполномоченный по защите прав предпринимателей в России. Он считает необходимым изменить налоговое законодательство.",14,213,success,high,6
176,"Лидер группы Ленинград Сергей Шнуров рассказал о том, как чрезмерное употребление алкоголя заставило его видеть чертей. Его воспоминания приводятся в документальном фильме «Сергей Шнуров. Экспонат». «Было один раз. [Видел] таких маленьких чертиков, не больших, не страшных. Они были похожи на мышей», — поведал артист.",8,207,success,high,20
177,"Палата представителей Конгресса США отвергла предложение ограничить финансирование проекта по созданию новых ядерных боеголовок. Поправка к военному бюджету страны на 2019 год, согласно которой, финансирование создание боеголовок малой мощности W76-2 должно было быть сокращено вдвое, не была принята.",15,79,in progress,low,34
178,"Спортивный корреспондент телеканала Sky Хейли Мур сумела остановить несущуюся вокруг ипподрома лошадь, несмотря на то, что сама попала под ее копыта. Удар на скорости около 30 миль в час пришелся на лицо журналистки. Девушке удалось быстро встать на ноги и обуздать животное.",13,42,success,high,7
179,Федерация хоккея России (ФХР) подписала соглашение с главным тренером сборной страны Ильей Воробьевым. Контракт рассчитан на два года с возможностью продления еще на два. Штаб сборной России продолжит работу в команде в том же составе. Воробьев также возглавил петербургское СКА.,9,63,success,high,13
180,"Британский режиссер Пэрис Зарсилья случайно обнаружил под своей кроватью чужую кошку, которая недавно родила четверых котят. Ошеломленный мужчина начал фотографировать приютившихся у него питомцев, а заодно писать в соцсетях о своих впечатлениях. В скором времени за страницей мужчины стали наблюдать тысячи людей.",13,201,success,medium,27
181,"В Москве выступит артист Джанго Эдвардс, основатель школы новой клоунады и учитель Славы Полунина. В его перформансе примут участие 45 клоунов, мимов и ходулистов из США, Италии и Испании. Концерт клоуна, получивший название «Лаборатория радости», пройдет 2 июня в столичном торговом центре «Авиапарк».",8,190,in progress,low,13
182,Премьера нового мультсериала Disenchantment («Разочарование») от создателя «Симпсонов» Мэтта Грейнинга состоится 17 августа. Disenchantment станет первым шоу Грейнинга за последние 20 лет. Мультсериал будет состоять из десяти эпизодов и выйдет на стриминговом сервисе Netflix.,8,207,failed,high,28
183,"Минобороны России опубликовало видео, на котором показан залповый пуск четырех баллистических ракет «Булава» с атомного подводного крейсера «Юрий Долгорукий». Помимо этого, в почти трехминутное видео попали процесс перехода субмарины в подводное положение, подготовка экипажа к стрельбам и полет четырех ракет.",17,138,success,medium,30
184,"Часть европейских компаний волей-неволей будет вынуждена выйти из Ирана из-за американских санкций. Об этом заявила канцлер Германии Ангела Меркель после переговоров с премьером Госсовета КНР Ли Кэцяном. Она отметила, что китайские компании способны заполнить освободившуюся нишу.",14,67,failed,high,38
185,"Положительную динамику в борьбе с коррупцией увидели больше половины россиян. Об этом сообщили в ВЦИОМ. Участники опроса также выделили наиболее пораженные взяточничеством сферы жизни в стране. Громкие аресты чиновников и политиков респонденты сочли скорее показательными акциями, чем реальной работой правоохранителей.",5,31,success,high,34
186,"Бодипозитивный бренд пляжной одежды Moana Bikini выпустил новую рекламную кампанию, в которой снялись женщины с разными типами фигур. Акция, вдохновленная песнями певицы Бейонсе, прошла под лозунгом «Кто правит миром? Девушки!» (Who runs the world? Girls!). Фотографы не стали редактировать тела девушек на снимках.",19,169,in progress,low,14
